0,Date,Price,Open,High,Low,Volume,Chg%
625,"Oct 09, 2011",429.38,398.35,430.77,398.32,38.79M,7.97%
626,"Oct 02, 2011",397.68,391.89,400.21,377.30,40.62M,-0.67%
627,"Sep 25, 2011",400.38,380.99,407.59,370.27,64.95M,4.90%
628,"Sep 18, 2011",381.68,408.63,422.97,378.46,52.65M,-6.67%
629,"Sep 11, 2011",408.95,401.37,421.01,393.89,51.57M,-0.01%
630,"Sep 04, 2011",409.00,393.52,425.47,384.60,68.12M,2.52%
631,"Aug 28, 2011",398.94,362.12,403.03,360.76,39.98M,11.96%
632,"Aug 21, 2011",356.32,362.07,382.38,352.66,40.05M,-1.80%
633,"Aug 14, 2011",362.84,376.43,383.56,357.26,28.78M,-3.73%
634,"Aug 07, 2011",376.88,384.70,394.46,372.96,46.50M,-3.93%
635,"Jul 31, 2011",392.28,415.07,415.51,385.84,39.16M,-4.34%
636,"Jul 24, 2011",410.09,441.81,441.81,407.71,50.18M,-5.20%
637,"Jul 17, 2011",432.57,431.86,439.24,424.75,23.43M,0.02%
638,"Jul 10, 2011",432.50,422.99,434.83,418.88,29.17M,2.15%
639,"Jul 03, 2011",423.41,433.09,435.57,416.40,54.58M,-0.82%
640,"Jun 26, 2011",426.93,429.28,449.24,424.33,40.35M,-1.08%
641,"Jun 19, 2011",431.61,433.39,435.72,410.16,55.47M,0.30%
642,"Jun 12, 2011",430.30,467.20,467.20,428.54,45.71M,-8.02%
643,"Jun 05, 2011",467.82,462.94,475.49,459.72,26.85M,1.06%
644,"May 29, 2011",462.91,470.02,478.96,461.38,26.87M,-1.15%
645,"May 22, 2011",468.29,455.19,471.98,446.27,38.85M,2.41%
646,"May 15, 2011",457.27,470.54,471.23,444.96,37.45M,-2.62%
647,"May 08, 2011",469.55,475.49,478.49,464.57,21.91M,-0.74%
648,"May 01, 2011",473.04,487.33,488.77,465.59,36.83M,-2.92%
649,"Apr 24, 2011",487.26,502.24,505.71,480.45,51.30M,-5.46%
650,"Apr 17, 2011",515.41,504.81,517.45,494.69,24.03M,1.92%
651,"Apr 10, 2011",505.68,501.74,507.61,493.62,20.58M,-0.29%
652,"Apr 03, 2011",507.14,515.12,524.53,505.53,25.43M,-1.21%
653,"Mar 27, 2011",513.33,508.31,527.95,502.39,46.02M,0.95%
654,"Mar 20, 2011",508.48,494.83,510.14,485.94,29.25M,3.38%
655,"Mar 13, 2011",491.84,491.81,522.55,488.67,73.26M,0.10%
656,"Mar 06, 2011",491.37,482.48,497.48,477.47,37.48M,1.00%
657,"Feb 27, 2011",486.49,480.54,492.73,475.49,32.33M,1.65%
658,"Feb 20, 2011",478.59,463.66,499.96,462.71,89.41M,3.28%
659,"Feb 13, 2011",463.38,448.80,476.98,442.85,45.36M,2.81%
660,"Feb 06, 2011",450.70,458.50,464.99,438.39,55.78M,-1.09%
661,"Jan 30, 2011",455.68,450.16,469.30,440.10,59.75M,0.77%
662,"Jan 23, 2011",452.21,492.88,493.27,446.77,48.24M,-7.48%
663,"Jan 16, 2011",488.77,496.79,499.27,472.79,52.28M,-1.47%
664,"Jan 09, 2011",496.05,527.70,530.20,494.31,49.04M,-6.00%
665,"Jan 02, 2011",527.70,527.50,540.58,521.36,45.23M,0.63%
666,"Dec 26, 2010",524.38,524.18,529.38,516.23,23.24M,-0.09%
667,"Dec 19, 2010",524.87,517.59,532.45,517.40,32.82M,0.27%
668,"Dec 12, 2010",523.46,507.22,527.00,500.26,34.10M,3.22%
669,"Dec 05, 2010",507.14,503.16,514.97,484.78,53.27M,1.79%
